R=40001, TT=StCr, NTX=25, TB=1748726347.88s, D=0.18s
R=40140, TT=StCr, NTX=25, TB=1748726657.54s, D=0.29s
R=40141, TT=StCr, NTX=25, TB=1748726659.69s, D=0.30s
R=40142, TT=StCr, NTX=25, TB=1748726661.90s, D=0.18s
R=40143, TT=StCr, NTX=25, TB=1748726664.42s, D=0.30s
R=40144, TT=StCr, NTX=25, TB=1748726666.63s, D=0.28s
R=40145, TT=StCr, NTX=25, TB=1748726668.83s, D=0.26s
R=40146, TT=StCr, NTX=25, TB=1748726671.05s, D=0.24s
R=40147, TT=StCr, NTX=25, TB=1748726673.27s, D=0.16s
R=40148, TT=StCr, NTX=25, TB=1748726675.61s, D=0.33s
R=40149, TT=StCr, NTX=25, TB=1748726677.79s, D=0.26s
R=40150, TT=StCr, NTX=25, TB=1748726679.80s, D=0.17s
R=40151, TT=StCr, NTX=25, TB=1748726682.13s, D=0.18s
R=40152, TT=StCr, NTX=25, TB=1748726684.40s, D=0.30s
R=40153, TT=StCr, NTX=25, TB=1748726686.60s, D=0.29s
R=40154, TT=StCr, NTX=25, TB=1748726688.78s, D=0.31s
R=40155, TT=StCr, NTX=25, TB=1748726690.98s, D=0.31s
R=40156, TT=StCr, NTX=25, TB=1748726693.15s, D=0.20s
R=40157, TT=StCr, NTX=25, TB=1748726695.36s, D=0.26s
R=40158, TT=StCr, NTX=25, TB=1748726697.53s, D=0.23s
R=40159, TT=StCr, NTX=25, TB=1748726699.77s, D=0.33s
R=40160, TT=StCr, NTX=25, TB=1748726701.95s, D=0.32s
R=40161, TT=StCr, NTX=25, TB=1748726704.35s, D=0.28s
R=40162, TT=StCr, NTX=25, TB=1748726706.68s, D=0.20s
R=40163, TT=StCr, NTX=25, TB=1748726709.02s, D=0.17s
R=40164, TT=StCr, NTX=25, TB=1748726711.33s, D=0.17s
R=40165, TT=StCr, NTX=25, TB=1748726713.68s, D=0.28s
R=40166, TT=StCr, NTX=25, TB=1748726715.76s, D=0.18s
R=40167, TT=StCr, NTX=25, TB=1748726718.14s, D=0.32s
R=40168, TT=StCr, NTX=25, TB=1748726720.32s, D=0.24s
R=40169, TT=StCr, NTX=25, TB=1748726722.57s, D=0.29s
R=40170, TT=StCr, NTX=25, TB=1748726724.97s, D=0.25s
R=40171, TT=StCr, NTX=25, TB=1748726727.04s, D=0.16s
R=40172, TT=StCr, NTX=25, TB=1748726729.24s, D=0.19s
R=40173, TT=StCr, NTX=25, TB=1748726731.60s, D=0.28s
R=40174, TT=StCr, NTX=25, TB=1748726733.69s, D=0.18s
R=40175, TT=StCr, NTX=25, TB=1748726735.91s, D=0.31s
R=40176, TT=StCr, NTX=25, TB=1748726738.06s, D=0.29s
R=40177, TT=StCr, NTX=25, TB=1748726740.20s, D=0.18s
R=40178, TT=StCr, NTX=25, TB=1748726742.44s, D=0.30s
R=40179, TT=StCr, NTX=25, TB=1748726744.62s, D=0.27s
R=40180, TT=StCr, NTX=25, TB=1748726746.76s, D=0.23s
R=40181, TT=StCr, NTX=25, TB=1748726748.91s, D=0.20s
R=40182, TT=StCr, NTX=25, TB=1748726751.24s, D=0.28s
R=40183, TT=StCr, NTX=25, TB=1748726753.34s, D=0.19s
R=40184, TT=StCr, NTX=25, TB=1748726755.58s, D=0.28s
R=40185, TT=StCr, NTX=25, TB=1748726757.83s, D=0.25s
R=40186, TT=StCr, NTX=25, TB=1748726760.14s, D=0.29s
R=40187, TT=StCr, NTX=25, TB=1748726762.22s, D=0.36s
R=40188, TT=StCr, NTX=25, TB=1748726764.77s, D=0.32s
R=40189, TT=StCr, NTX=25, TB=1748726766.93s, D=0.16s
R=40190, TT=StCr, NTX=25, TB=1748726769.36s, D=0.20s
R=40191, TT=StCr, NTX=25, TB=1748726771.64s, D=0.28s
R=40192, TT=StCr, NTX=25, TB=1748726773.69s, D=0.16s
R=40193, TT=StCr, NTX=25, TB=1748726775.99s, D=0.34s
R=40194, TT=StCr, NTX=25, TB=1748726778.16s, D=0.23s
R=40195, TT=StCr, NTX=25, TB=1748726780.52s, D=0.21s
R=40196, TT=StCr, NTX=25, TB=1748726782.46s, D=0.17s
R=40197, TT=StCr, NTX=25, TB=1748726784.88s, D=0.31s
R=40198, TT=StCr, NTX=25, TB=1748726787.04s, D=0.16s
R=40199, TT=StCr, NTX=25, TB=1748726789.30s, D=0.27s
R=40200, TT=StCr, NTX=25, TB=1748726791.51s, D=0.18s
R=40201, TT=StCr, NTX=25, TB=1748726793.78s, D=0.31s
R=40202, TT=StCr, NTX=25, TB=1748726795.99s, D=0.32s
R=40203, TT=StCr, NTX=25, TB=1748726798.08s, D=0.17s
R=40204, TT=StCr, NTX=25, TB=1748726800.44s, D=0.28s
R=40205, TT=StCr, NTX=25, TB=1748726802.63s, D=0.29s
R=40206, TT=StCr, NTX=25, TB=1748726804.76s, D=0.25s
R=40207, TT=StCr, NTX=25, TB=1748726806.84s, D=0.15s
R=40208, TT=StCr, NTX=25, TB=1748726809.21s, D=0.35s
R=40209, TT=StCr, NTX=25, TB=1748726811.33s, D=0.19s
R=40210, TT=StCr, NTX=25, TB=1748726813.59s, D=0.26s
R=40211, TT=StCr, NTX=25, TB=1748726815.88s, D=0.47s
R=40212, TT=StCr, NTX=25, TB=1748726818.16s, D=0.22s
R=40213, TT=StCr, NTX=25, TB=1748726820.20s, D=0.16s
R=40214, TT=StCr, NTX=25, TB=1748726822.61s, D=0.30s
R=40215, TT=StCr, NTX=25, TB=1748726824.77s, D=0.17s
R=40216, TT=StCr, NTX=25, TB=1748726827.18s, D=0.34s
R=40217, TT=StCr, NTX=25, TB=1748726829.50s, D=0.19s
R=40218, TT=StCr, NTX=25, TB=1748726831.67s, D=0.18s
R=40219, TT=StCr, NTX=25, TB=1748726833.92s, D=0.18s
R=40220, TT=StCr, NTX=25, TB=1748726836.09s, D=0.28s
R=40221, TT=StCr, NTX=25, TB=1748726838.32s, D=0.24s
R=40222, TT=StCr, NTX=25, TB=1748726840.58s, D=0.34s
R=40223, TT=StCr, NTX=25, TB=1748726842.69s, D=0.26s
R=40224, TT=StCr, NTX=25, TB=1748726844.89s, D=0.31s
R=40225, TT=StCr, NTX=25, TB=1748726847.30s, D=0.26s
R=40226, TT=StCr, NTX=25, TB=1748726849.46s, D=0.23s
R=40227, TT=StCr, NTX=25, TB=1748726851.72s, D=0.30s
R=40228, TT=StCr, NTX=25, TB=1748726853.90s, D=0.31s
R=40229, TT=StCr, NTX=25, TB=1748726856.02s, D=0.28s
R=40230, TT=StCr, NTX=25, TB=1748726858.24s, D=0.24s
R=40231, TT=StCr, NTX=25, TB=1748726860.39s, D=0.20s
R=40232, TT=StCr, NTX=25, TB=1748726862.64s, D=0.27s
R=40233, TT=StCr, NTX=25, TB=1748726864.89s, D=0.31s
R=40234, TT=StCr, NTX=25, TB=1748726867.10s, D=0.30s
R=40235, TT=StCr, NTX=25, TB=1748726869.14s, D=0.17s
R=40236, TT=StCr, NTX=25, TB=1748726871.38s, D=0.26s
R=40237, TT=StCr, NTX=25, TB=1748726873.58s, D=0.28s
R=40238, TT=StCr, NTX=25, TB=1748726875.82s, D=0.25s
R=40239, TT=StCr, NTX=25, TB=1748726878.11s, D=0.23s
R=40240, TT=StCr, NTX=25, TB=1748726880.30s, D=0.21s
R=40241, TT=StCr, NTX=25, TB=1748726882.43s, D=0.18s
R=40242, TT=StCr, NTX=25, TB=1748726885.13s, D=0.18s
R=40243, TT=StCr, NTX=25, TB=1748726887.37s, D=0.28s
R=40244, TT=StCr, NTX=25, TB=1748726889.76s, D=0.27s
R=40245, TT=StCr, NTX=25, TB=1748726891.97s, D=0.21s
R=40246, TT=StCr, NTX=25, TB=1748726894.18s, D=0.26s
R=40247, TT=StCr, NTX=25, TB=1748726896.39s, D=0.28s
R=40248, TT=StCr, NTX=25, TB=1748726898.51s, D=0.19s
R=40249, TT=StCr, NTX=25, TB=1748726900.60s, D=0.18s
R=40250, TT=StCr, NTX=25, TB=1748726902.89s, D=0.25s
R=40251, TT=StCr, NTX=25, TB=1748726905.10s, D=0.31s
R=40252, TT=StCr, NTX=25, TB=1748726907.52s, D=0.26s
R=40253, TT=StCr, NTX=25, TB=1748726909.67s, D=0.16s
R=40254, TT=StCr, NTX=25, TB=1748726911.99s, D=0.31s
R=40255, TT=StCr, NTX=25, TB=1748726914.03s, D=0.17s
R=40256, TT=StCr, NTX=25, TB=1748726916.36s, D=0.27s
R=40257, TT=StCr, NTX=25, TB=1748726918.53s, D=0.21s
R=40258, TT=StCr, NTX=25, TB=1748726920.74s, D=0.29s
R=40259, TT=StCr, NTX=25, TB=1748726922.90s, D=0.24s
R=40260, TT=StCr, NTX=25, TB=1748726924.98s, D=0.16s
R=40261, TT=StCr, NTX=25, TB=1748726927.39s, D=0.30s
R=40262, TT=StCr, NTX=25, TB=1748726929.55s, D=0.25s
R=40263, TT=StCr, NTX=25, TB=1748726931.80s, D=0.30s
R=40264, TT=StCr, NTX=25, TB=1748726933.93s, D=0.35s
R=40265, TT=StCr, NTX=25, TB=1748726936.06s, D=0.42s
R=40266, TT=StCr, NTX=25, TB=1748726938.38s, D=0.26s
R=40267, TT=StCr, NTX=25, TB=1748726940.61s, D=0.27s
R=40268, TT=StCr, NTX=25, TB=1748726942.78s, D=0.32s
R=40269, TT=StCr, NTX=25, TB=1748726945.14s, D=0.19s
R=40270, TT=StCr, NTX=25, TB=1748726947.31s, D=0.18s
R=40271, TT=StCr, NTX=25, TB=1748726949.85s, D=0.30s
R=40272, TT=StCr, NTX=25, TB=1748726951.99s, D=0.25s
R=40273, TT=StCr, NTX=25, TB=1748726954.13s, D=0.30s
R=40274, TT=StCr, NTX=25, TB=1748726956.23s, D=0.20s
R=40275, TT=StCr, NTX=25, TB=1748726958.52s, D=0.30s
R=40276, TT=StCr, NTX=25, TB=1748726960.78s, D=0.25s
R=40277, TT=StCr, NTX=25, TB=1748726962.96s, D=0.20s
R=40278, TT=StCr, NTX=25, TB=1748726965.13s, D=0.18s
R=40279, TT=StCr, NTX=25, TB=1748726967.47s, D=0.34s
R=40280, TT=StCr, NTX=25, TB=1748726969.69s, D=0.30s
R=40281, TT=StCr, NTX=25, TB=1748726971.92s, D=0.34s
R=40282, TT=StCr, NTX=25, TB=1748726974.07s, D=0.29s
R=40283, TT=StCr, NTX=25, TB=1748726976.23s, D=0.31s
R=40284, TT=StCr, NTX=25, TB=1748726978.49s, D=0.33s
R=40285, TT=StCr, NTX=25, TB=1748726980.66s, D=0.32s
R=40286, TT=StCr, NTX=25, TB=1748726982.87s, D=0.30s
R=40287, TT=StCr, NTX=25, TB=1748726984.86s, D=0.17s
R=40288, TT=StCr, NTX=25, TB=1748726987.25s, D=0.32s
R=40289, TT=StCr, NTX=25, TB=1748726989.45s, D=0.29s
R=40290, TT=StCr, NTX=25, TB=1748726991.38s, D=0.15s
R=40291, TT=StCr, NTX=25, TB=1748726993.74s, D=0.19s
R=40292, TT=StCr, NTX=25, TB=1748726995.93s, D=0.40s
R=40293, TT=StCr, NTX=25, TB=1748726998.30s, D=0.22s
R=40294, TT=StCr, NTX=25, TB=1748727000.47s, D=0.19s
R=40295, TT=StCr, NTX=25, TB=1748727002.86s, D=0.38s
R=40296, TT=StCr, NTX=25, TB=1748727005.18s, D=0.19s
R=40297, TT=StCr, NTX=25, TB=1748727007.39s, D=0.22s
R=40298, TT=StCr, NTX=25, TB=1748727009.81s, D=0.27s
R=40299, TT=StCr, NTX=25, TB=1748727011.97s, D=0.21s
R=40300, TT=StCr, NTX=25, TB=1748727014.23s, D=0.28s
R=40301, TT=StCr, NTX=25, TB=1748727016.27s, D=0.16s
R=40302, TT=StCr, NTX=25, TB=1748727018.51s, D=0.15s
R=40303, TT=StCr, NTX=25, TB=1748727020.78s, D=0.32s
R=40304, TT=StCr, NTX=25, TB=1748727022.98s, D=0.27s
R=40305, TT=StCr, NTX=25, TB=1748727025.18s, D=0.27s
R=40306, TT=StCr, NTX=25, TB=1748727027.31s, D=0.16s
R=40307, TT=StCr, NTX=25, TB=1748727029.76s, D=0.18s
R=40308, TT=StCr, NTX=25, TB=1748727031.99s, D=0.26s
R=40309, TT=StCr, NTX=25, TB=1748727034.19s, D=0.26s
R=40310, TT=StCr, NTX=25, TB=1748727036.35s, D=0.30s
R=40311, TT=StCr, NTX=25, TB=1748727038.58s, D=0.27s
R=40312, TT=StCr, NTX=25, TB=1748727040.69s, D=0.16s
R=40313, TT=StCr, NTX=25, TB=1748727042.83s, D=0.17s
R=40314, TT=StCr, NTX=25, TB=1748727045.20s, D=0.28s
R=40315, TT=StCr, NTX=25, TB=1748727047.43s, D=0.16s
R=40316, TT=StCr, NTX=25, TB=1748727049.76s, D=0.32s
R=40317, TT=StCr, NTX=25, TB=1748727051.85s, D=0.19s
R=40318, TT=StCr, NTX=25, TB=1748727054.20s, D=0.34s
R=40319, TT=StCr, NTX=25, TB=1748727056.41s, D=0.24s
R=40320, TT=StCr, NTX=25, TB=1748727058.66s, D=0.31s
R=40321, TT=StCr, NTX=25, TB=1748727060.90s, D=0.33s
R=40322, TT=StCr, NTX=25, TB=1748727063.10s, D=0.39s
R=40323, TT=StCr, NTX=25, TB=1748727065.27s, D=0.17s
R=40324, TT=StCr, NTX=25, TB=1748727067.68s, D=0.20s
R=40325, TT=StCr, NTX=25, TB=1748727069.97s, D=0.22s
R=40326, TT=StCr, NTX=25, TB=1748727072.19s, D=0.25s
R=40327, TT=StCr, NTX=25, TB=1748727074.39s, D=0.25s
R=40328, TT=StCr, NTX=25, TB=1748727076.61s, D=0.26s
R=40329, TT=StCr, NTX=25, TB=1748727078.72s, D=0.20s
R=40330, TT=StCr, NTX=25, TB=1748727080.93s, D=0.18s
R=40331, TT=StCr, NTX=25, TB=1748727083.23s, D=0.32s
R=40332, TT=StCr, NTX=25, TB=1748727085.34s, D=0.23s
R=40333, TT=StCr, NTX=25, TB=1748727087.49s, D=0.23s
R=40334, TT=StCr, NTX=25, TB=1748727089.54s, D=0.17s
R=40335, TT=StCr, NTX=25, TB=1748727091.93s, D=0.29s
R=40336, TT=StCr, NTX=25, TB=1748727093.90s, D=0.18s
R=40337, TT=StCr, NTX=25, TB=1748727096.28s, D=0.29s
R=40338, TT=StCr, NTX=25, TB=1748727098.10s, D=0.16s
R=40339, TT=StCr, NTX=25, TB=1748727100.02s, D=0.14s
R=40340, TT=StCr, NTX=25, TB=1748727102.73s, D=0.35s
R=40341, TT=StCr, NTX=25, TB=1748727104.93s, D=0.30s
R=40342, TT=StCr, NTX=25, TB=1748727107.13s, D=0.32s
R=40343, TT=StCr, NTX=25, TB=1748727109.22s, D=0.19s
R=40344, TT=StCr, NTX=25, TB=1748727111.47s, D=0.28s
R=40345, TT=StCr, NTX=25, TB=1748727113.71s, D=0.31s
R=40346, TT=StCr, NTX=25, TB=1748727115.79s, D=0.22s
R=40347, TT=StCr, NTX=25, TB=1748727118.18s, D=0.31s
R=40348, TT=StCr, NTX=25, TB=1748727120.37s, D=0.29s
R=40349, TT=StCr, NTX=25, TB=1748727122.55s, D=0.25s
R=40350, TT=StCr, NTX=25, TB=1748727125.19s, D=0.34s
R=40351, TT=StCr, NTX=25, TB=1748727127.43s, D=0.31s
R=40352, TT=StCr, NTX=25, TB=1748727129.90s, D=0.31s
R=40353, TT=StCr, NTX=25, TB=1748727132.05s, D=0.26s
R=40354, TT=StCr, NTX=25, TB=1748727134.21s, D=0.22s
R=40355, TT=StCr, NTX=25, TB=1748727136.40s, D=0.31s
R=40356, TT=StCr, NTX=25, TB=1748727138.64s, D=0.24s
R=40357, TT=StCr, NTX=25, TB=1748727140.82s, D=0.24s
R=40358, TT=StCr, NTX=25, TB=1748727143.12s, D=0.35s
R=40359, TT=StCr, NTX=25, TB=1748727145.33s, D=0.27s
R=40360, TT=StCr, NTX=25, TB=1748727147.58s, D=0.34s
R=40361, TT=StCr, NTX=25, TB=1748727149.76s, D=0.38s
R=40362, TT=StCr, NTX=25, TB=1748727152.13s, D=0.26s
R=40363, TT=StCr, NTX=25, TB=1748727154.37s, D=0.30s
R=40364, TT=StCr, NTX=25, TB=1748727156.50s, D=0.23s
R=40365, TT=StCr, NTX=25, TB=1748727158.80s, D=0.28s
R=40366, TT=StCr, NTX=25, TB=1748727161.03s, D=0.33s
R=40367, TT=StCr, NTX=25, TB=1748727163.16s, D=0.22s
R=40368, TT=StCr, NTX=25, TB=1748727165.45s, D=0.28s
R=40369, TT=StCr, NTX=25, TB=1748727167.75s, D=0.29s
R=40370, TT=StCr, NTX=25, TB=1748727170.00s, D=0.33s
R=40371, TT=StCr, NTX=25, TB=1748727172.26s, D=0.28s
R=40372, TT=StCr, NTX=25, TB=1748727174.47s, D=0.28s
R=40373, TT=StCr, NTX=25, TB=1748727176.49s, D=0.16s
R=40374, TT=StCr, NTX=25, TB=1748727178.98s, D=0.32s
R=40375, TT=StCr, NTX=25, TB=1748727181.27s, D=0.28s
R=40376, TT=StCr, NTX=25, TB=1748727184.39s, D=0.17s
R=40377, TT=StCr, NTX=25, TB=1748727186.14s, D=0.30s
R=40378, TT=StCr, NTX=25, TB=1748727188.58s, D=0.24s
R=40379, TT=StCr, NTX=25, TB=1748727190.81s, D=0.29s
R=40380, TT=StCr, NTX=25, TB=1748727193.07s, D=0.32s
R=40381, TT=StCr, NTX=25, TB=1748727195.17s, D=0.24s
R=40382, TT=StCr, NTX=25, TB=1748727197.36s, D=0.24s
R=40383, TT=StCr, NTX=25, TB=1748727199.49s, D=0.22s
R=40384, TT=StCr, NTX=25, TB=1748727201.79s, D=0.22s
R=40385, TT=StCr, NTX=25, TB=1748727204.07s, D=0.28s
R=40386, TT=StCr, NTX=25, TB=1748727206.38s, D=0.33s
R=40387, TT=StCr, NTX=25, TB=1748727208.55s, D=0.31s
