R=90057, TT=RebCr, NTX=65, TB=1748840050.18s, D=0.44s
R=90058, TT=RebTrOw, NTX=20, TB=1748840052.29s, D=0.25s
R=90058, TT=RebCr, NTX=59, TB=1748840052.54s, D=0.41s
R=90059, TT=RebTrOw, NTX=20, TB=1748840054.55s, D=0.26s
R=90059, TT=RebCr, NTX=57, TB=1748840054.81s, D=0.38s
R=90060, TT=RebTrOw, NTX=20, TB=1748840056.70s, D=0.26s
R=90060, TT=RebCr, NTX=69, TB=1748840056.97s, D=0.36s
R=90061, TT=RebTrOw, NTX=20, TB=1748840059.14s, D=0.30s
R=90061, TT=RebCr, NTX=56, TB=1748840059.44s, D=0.40s
R=90062, TT=RebTrOw, NTX=20, TB=1748840061.42s, D=0.26s
R=90062, TT=RebCr, NTX=66, TB=1748840061.68s, D=0.37s
R=90063, TT=RebTrOw, NTX=20, TB=1748840063.77s, D=0.26s
R=90063, TT=RebCr, NTX=56, TB=1748840064.04s, D=0.38s
R=90064, TT=RebTrOw, NTX=20, TB=1748840066.00s, D=0.21s
R=90064, TT=RebCr, NTX=54, TB=1748840066.22s, D=0.36s
R=90065, TT=RebTrOw, NTX=20, TB=1748840068.29s, D=0.23s
R=90065, TT=RebCr, NTX=59, TB=1748840068.52s, D=0.38s
R=90066, TT=RebTrOw, NTX=20, TB=1748840070.57s, D=0.27s
R=90066, TT=RebCr, NTX=69, TB=1748840070.84s, D=0.39s
R=90067, TT=RebTrOw, NTX=20, TB=1748840072.94s, D=0.29s
R=90067, TT=RebCr, NTX=66, TB=1748840073.24s, D=0.38s
R=90068, TT=RebTrOw, NTX=20, TB=1748840075.22s, D=0.30s
R=90068, TT=RebCr, NTX=57, TB=1748840075.51s, D=0.35s
R=90069, TT=RebTrOw, NTX=20, TB=1748840077.27s, D=0.19s
R=90069, TT=RebCr, NTX=57, TB=1748840077.46s, D=0.44s
R=90070, TT=RebTrOw, NTX=20, TB=1748840079.68s, D=0.27s
R=90070, TT=RebCr, NTX=53, TB=1748840079.96s, D=0.37s
R=90071, TT=RebTrOw, NTX=20, TB=1748840081.91s, D=0.30s
R=90071, TT=RebCr, NTX=65, TB=1748840082.21s, D=0.44s
R=90072, TT=RebTrOw, NTX=20, TB=1748840084.24s, D=0.32s
R=90072, TT=RebCr, NTX=47, TB=1748840084.56s, D=0.35s
R=90073, TT=RebTrOw, NTX=20, TB=1748840086.61s, D=0.30s
R=90073, TT=RebCr, NTX=64, TB=1748840086.90s, D=0.38s
R=90074, TT=RebTrOw, NTX=20, TB=1748840088.96s, D=0.20s
R=90074, TT=RebCr, NTX=53, TB=1748840089.15s, D=0.44s
R=90075, TT=RebTrOw, NTX=20, TB=1748840091.35s, D=0.27s
R=90075, TT=RebCr, NTX=66, TB=1748840091.62s, D=0.46s
R=90076, TT=RebTrOw, NTX=20, TB=1748840093.67s, D=0.25s
R=90076, TT=RebCr, NTX=62, TB=1748840093.92s, D=0.40s
R=90077, TT=RebTrOw, NTX=20, TB=1748840095.89s, D=0.38s
R=90077, TT=RebCr, NTX=64, TB=1748840096.28s, D=0.40s
R=90078, TT=RebTrOw, NTX=20, TB=1748840098.27s, D=0.36s
R=90078, TT=RebCr, NTX=62, TB=1748840098.62s, D=0.50s
R=90079, TT=RebTrOw, NTX=20, TB=1748840100.70s, D=0.33s
R=90079, TT=RebCr, NTX=55, TB=1748840101.03s, D=0.41s
R=90080, TT=RebTrOw, NTX=20, TB=1748840103.06s, D=0.26s
R=90080, TT=RebCr, NTX=62, TB=1748840103.31s, D=0.52s
R=90081, TT=RebTrOw, NTX=20, TB=1748840105.59s, D=0.29s
R=90081, TT=RebCr, NTX=66, TB=1748840105.87s, D=0.57s
R=90082, TT=RebTrOw, NTX=20, TB=1748840108.07s, D=0.30s
R=90082, TT=RebCr, NTX=60, TB=1748840108.37s, D=0.43s
R=90083, TT=RebTrOw, NTX=20, TB=1748840110.37s, D=0.30s
R=90083, TT=RebCr, NTX=52, TB=1748840110.67s, D=0.40s
R=90084, TT=RebTrOw, NTX=20, TB=1748840112.71s, D=0.32s
R=90084, TT=RebCr, NTX=56, TB=1748840113.02s, D=0.36s
R=90085, TT=RebTrOw, NTX=20, TB=1748840115.01s, D=0.29s
R=90085, TT=RebCr, NTX=66, TB=1748840115.30s, D=0.45s
R=90086, TT=RebTrOw, NTX=20, TB=1748840117.32s, D=0.27s
R=90086, TT=RebCr, NTX=65, TB=1748840117.60s, D=0.41s
R=90087, TT=RebTrOw, NTX=20, TB=1748840119.55s, D=0.24s
R=90087, TT=RebCr, NTX=58, TB=1748840119.79s, D=0.33s
R=90088, TT=RebTrOw, NTX=20, TB=1748840121.95s, D=0.29s
R=90088, TT=RebCr, NTX=48, TB=1748840122.23s, D=0.39s
R=90089, TT=RebTrOw, NTX=20, TB=1748840124.19s, D=0.28s
R=90089, TT=RebCr, NTX=59, TB=1748840124.48s, D=0.46s
