R=90093, TT=TinTrOw, NTX=5, TB=1748840133.51s, D=0.18s
R=90093, TT=TinCr, NTX=7, TB=1748840133.69s, D=0.32s
R=90094, TT=TinTrOw, NTX=5, TB=1748840135.59s, D=0.12s
R=90094, TT=TinCr, NTX=12, TB=1748840135.71s, D=0.22s
R=90095, TT=TinTrOw, NTX=5, TB=1748840138.02s, D=0.20s
R=90095, TT=TinCr, NTX=7, TB=1748840138.22s, D=0.22s
R=90096, TT=TinTrOw, NTX=5, TB=1748840140.47s, D=0.22s
R=90096, TT=TinCr, NTX=8, TB=1748840140.69s, D=0.30s
R=90097, TT=TinTrOw, NTX=5, TB=1748840142.79s, D=0.18s
R=90097, TT=TinCr, NTX=11, TB=1748840142.98s, D=0.21s
R=90098, TT=TinTrOw, NTX=5, TB=1748840145.14s, D=0.17s
R=90098, TT=TinCr, NTX=12, TB=1748840145.31s, D=0.24s
R=90099, TT=TinTrOw, NTX=5, TB=1748840147.60s, D=0.19s
R=90099, TT=TinCr, NTX=10, TB=1748840147.79s, D=0.18s
R=90100, TT=TinTrOw, NTX=5, TB=1748840149.96s, D=0.19s
R=90100, TT=TinCr, NTX=9, TB=1748840150.15s, D=0.20s
R=90101, TT=TinTrOw, NTX=5, TB=1748840152.42s, D=0.19s
R=90101, TT=TinCr, NTX=10, TB=1748840152.60s, D=0.21s
R=90102, TT=TinTrOw, NTX=5, TB=1748840155.05s, D=0.14s
R=90102, TT=TinCr, NTX=8, TB=1748840155.20s, D=0.20s
R=90103, TT=TinTrOw, NTX=5, TB=1748840157.33s, D=0.15s
R=90103, TT=TinCr, NTX=9, TB=1748840157.48s, D=0.19s
R=90104, TT=TinTrOw, NTX=5, TB=1748840159.69s, D=0.16s
R=90104, TT=TinCr, NTX=11, TB=1748840159.85s, D=0.24s
R=90105, TT=TinTrOw, NTX=5, TB=1748840162.09s, D=0.19s
R=90105, TT=TinCr, NTX=7, TB=1748840162.28s, D=0.24s
R=90106, TT=TinTrOw, NTX=5, TB=1748840165.13s, D=0.14s
R=90106, TT=TinCr, NTX=9, TB=1748840165.26s, D=0.16s
R=90107, TT=TinTrOw, NTX=5, TB=1748840167.67s, D=0.15s
R=90107, TT=TinCr, NTX=12, TB=1748840167.82s, D=0.22s
R=90108, TT=TinTrOw, NTX=5, TB=1748840169.94s, D=0.16s
R=90108, TT=TinCr, NTX=11, TB=1748840170.11s, D=0.20s
R=90109, TT=TinTrOw, NTX=5, TB=1748840172.42s, D=0.19s
R=90109, TT=TinCr, NTX=12, TB=1748840172.61s, D=0.23s
R=90110, TT=TinTrOw, NTX=5, TB=1748840174.80s, D=0.21s
R=90110, TT=TinCr, NTX=8, TB=1748840175.01s, D=0.25s
R=90111, TT=TinTrOw, NTX=5, TB=1748840177.17s, D=0.18s
R=90111, TT=TinCr, NTX=9, TB=1748840177.34s, D=0.24s
R=90112, TT=TinTrOw, NTX=5, TB=1748840179.55s, D=0.20s
R=90112, TT=TinCr, NTX=9, TB=1748840179.75s, D=0.22s
R=90113, TT=TinTrOw, NTX=5, TB=1748840181.88s, D=0.18s
R=90113, TT=TinCr, NTX=9, TB=1748840182.05s, D=0.24s
R=90114, TT=TinTrOw, NTX=5, TB=1748840184.26s, D=0.18s
R=90114, TT=TinCr, NTX=10, TB=1748840184.44s, D=0.25s
R=90115, TT=TinTrOw, NTX=5, TB=1748840186.60s, D=0.17s
R=90115, TT=TinCr, NTX=9, TB=1748840186.77s, D=0.24s
R=90116, TT=TinTrOw, NTX=5, TB=1748840188.89s, D=0.19s
R=90116, TT=TinCr, NTX=14, TB=1748840189.08s, D=0.27s
R=90117, TT=TinTrOw, NTX=5, TB=1748840191.25s, D=0.14s
R=90117, TT=TinCr, NTX=6, TB=1748840191.39s, D=0.21s
R=90118, TT=TinTrOw, NTX=5, TB=1748840193.46s, D=0.17s
R=90118, TT=TinCr, NTX=9, TB=1748840193.63s, D=0.22s
R=90119, TT=TinTrOw, NTX=5, TB=1748840195.71s, D=0.19s
R=90119, TT=TinCr, NTX=8, TB=1748840195.90s, D=0.24s
R=90120, TT=TinTrOw, NTX=5, TB=1748840198.10s, D=0.20s
R=90120, TT=TinCr, NTX=10, TB=1748840198.30s, D=0.22s
R=90121, TT=TinTrOw, NTX=5, TB=1748840200.49s, D=0.22s
R=90121, TT=TinCr, NTX=12, TB=1748840200.71s, D=0.32s
R=90122, TT=TinTrOw, NTX=5, TB=1748840202.81s, D=0.22s
R=90122, TT=TinCr, NTX=11, TB=1748840203.03s, D=0.32s
R=90123, TT=TinTrOw, NTX=5, TB=1748840204.98s, D=0.15s
R=90123, TT=TinCr, NTX=9, TB=1748840205.13s, D=0.26s
R=90124, TT=TinTrOw, NTX=5, TB=1748840207.57s, D=0.16s
R=90124, TT=TinCr, NTX=10, TB=1748840207.73s, D=0.25s
R=90125, TT=TinTrOw, NTX=5, TB=1748840209.80s, D=0.15s
R=90125, TT=TinCr, NTX=10, TB=1748840209.94s, D=0.23s
R=90126, TT=TinTrOw, NTX=5, TB=1748840212.16s, D=0.19s
R=90126, TT=TinCr, NTX=11, TB=1748840212.34s, D=0.25s
R=90127, TT=TinTrOw, NTX=5, TB=1748840214.59s, D=0.22s
R=90127, TT=TinCr, NTX=13, TB=1748840214.81s, D=0.36s
R=90128, TT=TinTrOw, NTX=5, TB=1748840216.86s, D=0.15s
R=90128, TT=TinCr, NTX=14, TB=1748840217.01s, D=0.25s
R=90129, TT=TinTrOw, NTX=5, TB=1748840219.23s, D=0.19s
R=90129, TT=TinCr, NTX=10, TB=1748840219.42s, D=0.28s
R=90130, TT=TinTrOw, NTX=5, TB=1748840221.96s, D=0.23s
R=90130, TT=TinCr, NTX=10, TB=1748840222.19s, D=0.27s
R=90131, TT=TinTrOw, NTX=5, TB=1748840224.35s, D=0.20s
R=90131, TT=TinCr, NTX=12, TB=1748840224.55s, D=0.25s
R=90132, TT=TinTrOw, NTX=5, TB=1748840226.84s, D=0.24s
R=90132, TT=TinCr, NTX=13, TB=1748840227.09s, D=0.27s
R=90133, TT=TinTrOw, NTX=5, TB=1748840228.99s, D=0.12s
R=90133, TT=TinCr, NTX=10, TB=1748840229.12s, D=0.15s
R=90134, TT=TinTrOw, NTX=5, TB=1748840231.65s, D=0.19s
R=90134, TT=TinCr, NTX=10, TB=1748840231.85s, D=0.32s
R=90135, TT=TinTrOw, NTX=5, TB=1748840234.16s, D=0.20s
R=90135, TT=TinCr, NTX=12, TB=1748840234.36s, D=0.42s
