R=10001, TT=RebTrOw, NTX=20, TB=1748657680.38s, D=0.27s
R=10149, TT=RebCr, NTX=56, TB=1748658016.88s, D=0.39s
R=10150, TT=RebTrOw, NTX=20, TB=1748658018.86s, D=0.27s
R=10150, TT=RebCr, NTX=45, TB=1748658019.14s, D=0.35s
R=10151, TT=RebTrOw, NTX=20, TB=1748658021.04s, D=0.27s
R=10151, TT=RebCr, NTX=56, TB=1748658021.32s, D=0.35s
R=10152, TT=RebTrOw, NTX=20, TB=1748658023.29s, D=0.25s
R=10152, TT=RebCr, NTX=67, TB=1748658023.54s, D=0.34s
R=10153, TT=RebTrOw, NTX=20, TB=1748658025.64s, D=0.30s
R=10153, TT=RebCr, NTX=47, TB=1748658025.94s, D=0.33s
R=10154, TT=RebTrOw, NTX=20, TB=1748658027.84s, D=0.27s
R=10154, TT=RebCr, NTX=54, TB=1748658028.11s, D=0.33s
R=10155, TT=RebTrOw, NTX=20, TB=1748658030.03s, D=0.29s
R=10155, TT=RebCr, NTX=58, TB=1748658030.32s, D=0.38s
R=10156, TT=RebTrOw, NTX=20, TB=1748658032.23s, D=0.21s
R=10156, TT=RebCr, NTX=62, TB=1748658032.44s, D=0.33s
R=10157, TT=RebTrOw, NTX=20, TB=1748658034.50s, D=0.27s
R=10157, TT=RebCr, NTX=63, TB=1748658034.77s, D=0.39s
R=10158, TT=RebTrOw, NTX=20, TB=1748658036.70s, D=0.27s
R=10158, TT=RebCr, NTX=55, TB=1748658036.97s, D=0.42s
R=10159, TT=RebTrOw, NTX=20, TB=1748658038.85s, D=0.18s
R=10159, TT=RebCr, NTX=67, TB=1748658039.03s, D=0.37s
R=10160, TT=RebTrOw, NTX=20, TB=1748658041.19s, D=0.27s
R=10160, TT=RebCr, NTX=59, TB=1748658041.45s, D=0.34s
R=10161, TT=RebTrOw, NTX=20, TB=1748658043.37s, D=0.27s
R=10161, TT=RebCr, NTX=60, TB=1748658043.64s, D=0.35s
R=10162, TT=RebTrOw, NTX=20, TB=1748658045.57s, D=0.36s
R=10162, TT=RebCr, NTX=70, TB=1748658045.92s, D=0.41s
R=10163, TT=RebTrOw, NTX=20, TB=1748658047.71s, D=0.15s
R=10163, TT=RebCr, NTX=55, TB=1748658047.87s, D=0.47s
R=10164, TT=RebTrOw, NTX=20, TB=1748658050.12s, D=0.25s
R=10164, TT=RebCr, NTX=65, TB=1748658050.37s, D=0.41s
R=10165, TT=RebTrOw, NTX=20, TB=1748658052.32s, D=0.30s
R=10165, TT=RebCr, NTX=75, TB=1748658052.62s, D=0.38s
R=10166, TT=RebTrOw, NTX=20, TB=1748658054.53s, D=0.23s
R=10166, TT=RebCr, NTX=58, TB=1748658054.76s, D=0.38s
R=10167, TT=RebTrOw, NTX=20, TB=1748658056.73s, D=0.25s
R=10167, TT=RebCr, NTX=65, TB=1748658056.98s, D=0.35s
R=10168, TT=RebTrOw, NTX=20, TB=1748658058.88s, D=0.24s
R=10168, TT=RebCr, NTX=69, TB=1748658059.12s, D=0.36s
R=10169, TT=RebTrOw, NTX=20, TB=1748658061.03s, D=0.29s
R=10169, TT=RebCr, NTX=59, TB=1748658061.32s, D=0.43s
R=10170, TT=RebTrOw, NTX=20, TB=1748658063.26s, D=0.42s
R=10170, TT=RebCr, NTX=63, TB=1748658063.67s, D=0.52s
R=10171, TT=RebTrOw, NTX=20, TB=1748658065.77s, D=0.30s
R=10171, TT=RebCr, NTX=69, TB=1748658066.07s, D=0.32s
R=10172, TT=RebTrOw, NTX=20, TB=1748658068.09s, D=0.26s
R=10172, TT=RebCr, NTX=64, TB=1748658068.35s, D=0.39s
R=10173, TT=RebTrOw, NTX=20, TB=1748658070.40s, D=0.29s
R=10173, TT=RebCr, NTX=52, TB=1748658070.69s, D=0.29s
R=10174, TT=RebTrOw, NTX=20, TB=1748658072.56s, D=0.26s
R=10174, TT=RebCr, NTX=69, TB=1748658072.82s, D=0.39s
R=10175, TT=RebTrOw, NTX=20, TB=1748658074.80s, D=0.26s
R=10175, TT=RebCr, NTX=70, TB=1748658075.06s, D=0.35s
R=10176, TT=RebTrOw, NTX=20, TB=1748658076.97s, D=0.28s
R=10176, TT=RebCr, NTX=62, TB=1748658077.25s, D=0.44s
R=10177, TT=RebTrOw, NTX=20, TB=1748658079.25s, D=0.30s
R=10177, TT=RebCr, NTX=57, TB=1748658079.54s, D=0.40s
R=10178, TT=RebTrOw, NTX=20, TB=1748658081.47s, D=0.26s
R=10178, TT=RebCr, NTX=62, TB=1748658081.73s, D=0.41s
R=10179, TT=RebTrOw, NTX=20, TB=1748658083.67s, D=0.25s
R=10179, TT=RebCr, NTX=69, TB=1748658083.92s, D=0.36s
R=10180, TT=RebTrOw, NTX=20, TB=1748658086.07s, D=0.30s
R=10180, TT=RebCr, NTX=66, TB=1748658086.37s, D=0.31s
R=10181, TT=RebTrOw, NTX=20, TB=1748658088.24s, D=0.23s
R=10181, TT=RebCr, NTX=61, TB=1748658088.47s, D=0.33s
R=10182, TT=RebTrOw, NTX=20, TB=1748658090.31s, D=0.21s
R=10182, TT=RebCr, NTX=52, TB=1748658090.52s, D=0.32s
R=10183, TT=RebTrOw, NTX=20, TB=1748658092.62s, D=0.28s
R=10183, TT=RebCr, NTX=57, TB=1748658092.91s, D=0.35s
R=10184, TT=RebTrOw, NTX=20, TB=1748658094.83s, D=0.28s
