R=30184, TT=StCr, NTX=25, TB=1748703852.42s, D=0.26s
R=30185, TT=StCr, NTX=25, TB=1748703854.72s, D=0.31s
R=30186, TT=StCr, NTX=25, TB=1748703856.55s, D=0.16s
R=30187, TT=StCr, NTX=25, TB=1748703859.15s, D=0.25s
R=30188, TT=StCr, NTX=25, TB=1748703861.18s, D=0.19s
R=30189, TT=StCr, NTX=25, TB=1748703863.41s, D=0.20s
R=30190, TT=StCr, NTX=25, TB=1748703865.55s, D=0.18s
R=30191, TT=StCr, NTX=25, TB=1748703867.87s, D=0.30s
R=30192, TT=StCr, NTX=25, TB=1748703870.09s, D=0.24s
R=30193, TT=StCr, NTX=25, TB=1748703872.27s, D=0.23s
R=30194, TT=StCr, NTX=25, TB=1748703874.42s, D=0.23s
R=30195, TT=StCr, NTX=25, TB=1748703876.65s, D=0.26s
R=30196, TT=StCr, NTX=25, TB=1748703878.71s, D=0.16s
R=30197, TT=StCr, NTX=25, TB=1748703881.07s, D=0.28s
R=30198, TT=StCr, NTX=25, TB=1748703883.26s, D=0.30s
R=30199, TT=StCr, NTX=25, TB=1748703885.40s, D=0.27s
R=30200, TT=StCr, NTX=25, TB=1748703887.58s, D=0.19s
R=30201, TT=StCr, NTX=25, TB=1748703889.85s, D=0.26s
R=30202, TT=StCr, NTX=25, TB=1748703892.01s, D=0.30s
R=30203, TT=StCr, NTX=25, TB=1748703894.25s, D=0.20s
R=30204, TT=StCr, NTX=25, TB=1748703896.30s, D=0.16s
R=30205, TT=StCr, NTX=25, TB=1748703898.80s, D=0.26s
R=30206, TT=StCr, NTX=25, TB=1748703900.84s, D=0.15s
R=30207, TT=StCr, NTX=25, TB=1748703903.23s, D=0.37s
R=30208, TT=StCr, NTX=25, TB=1748703905.58s, D=0.26s
R=30209, TT=StCr, NTX=25, TB=1748703907.89s, D=0.31s
R=30210, TT=StCr, NTX=25, TB=1748703910.00s, D=0.17s
R=30211, TT=StCr, NTX=25, TB=1748703912.27s, D=0.30s
R=30212, TT=StCr, NTX=25, TB=1748703914.50s, D=0.31s
R=30213, TT=StCr, NTX=25, TB=1748703916.61s, D=0.21s
R=30214, TT=StCr, NTX=25, TB=1748703918.88s, D=0.26s
R=30215, TT=StCr, NTX=25, TB=1748703921.11s, D=0.24s
R=30216, TT=StCr, NTX=25, TB=1748703923.20s, D=0.18s
R=30217, TT=StCr, NTX=25, TB=1748703925.43s, D=0.20s
R=30218, TT=StCr, NTX=25, TB=1748703927.64s, D=0.28s
R=30219, TT=StCr, NTX=25, TB=1748703929.82s, D=0.25s
R=30220, TT=StCr, NTX=25, TB=1748703932.04s, D=0.28s
R=30221, TT=StCr, NTX=25, TB=1748703934.22s, D=0.22s
R=30222, TT=StCr, NTX=25, TB=1748703936.36s, D=0.27s
R=30223, TT=StCr, NTX=25, TB=1748703938.78s, D=0.26s
R=30224, TT=StCr, NTX=25, TB=1748703940.97s, D=0.24s
R=30225, TT=StCr, NTX=25, TB=1748703943.12s, D=0.25s
R=30226, TT=StCr, NTX=25, TB=1748703945.15s, D=0.16s
R=30227, TT=StCr, NTX=25, TB=1748703947.65s, D=0.25s
R=30228, TT=StCr, NTX=25, TB=1748703949.82s, D=0.27s
R=30229, TT=StCr, NTX=25, TB=1748703952.10s, D=0.33s
R=30230, TT=StCr, NTX=25, TB=1748703954.32s, D=0.27s
R=30231, TT=StCr, NTX=25, TB=1748703956.50s, D=0.29s
R=30232, TT=StCr, NTX=25, TB=1748703958.77s, D=0.24s
R=30233, TT=StCr, NTX=25, TB=1748703960.87s, D=0.20s
R=30234, TT=StCr, NTX=25, TB=1748703963.20s, D=0.35s
R=30235, TT=StCr, NTX=25, TB=1748703965.53s, D=0.20s
R=30236, TT=StCr, NTX=25, TB=1748703967.86s, D=0.26s
R=30237, TT=StCr, NTX=25, TB=1748703969.98s, D=0.18s
R=30238, TT=StCr, NTX=25, TB=1748703972.24s, D=0.29s
R=30239, TT=StCr, NTX=25, TB=1748703974.40s, D=0.29s
R=30240, TT=StCr, NTX=25, TB=1748703976.50s, D=0.24s
R=30241, TT=StCr, NTX=25, TB=1748703978.79s, D=0.29s
R=30242, TT=StCr, NTX=25, TB=1748703980.89s, D=0.19s
R=30243, TT=StCr, NTX=25, TB=1748703983.16s, D=0.22s
R=30244, TT=StCr, NTX=25, TB=1748703985.26s, D=0.20s
R=30245, TT=StCr, NTX=25, TB=1748703987.58s, D=0.27s
R=30246, TT=StCr, NTX=25, TB=1748703989.85s, D=0.23s
R=30247, TT=StCr, NTX=25, TB=1748703992.10s, D=0.26s
R=30248, TT=StCr, NTX=25, TB=1748703994.26s, D=0.24s
R=30249, TT=StCr, NTX=25, TB=1748703996.44s, D=0.27s
R=30250, TT=StCr, NTX=25, TB=1748703998.65s, D=0.23s
R=30251, TT=StCr, NTX=25, TB=1748704001.04s, D=0.28s
R=30252, TT=StCr, NTX=25, TB=1748704003.17s, D=0.21s
R=30253, TT=StCr, NTX=25, TB=1748704005.23s, D=0.16s
R=30254, TT=StCr, NTX=25, TB=1748704007.79s, D=0.23s
R=30255, TT=StCr, NTX=25, TB=1748704010.03s, D=0.26s
R=30256, TT=StCr, NTX=25, TB=1748704012.30s, D=0.29s
R=30257, TT=StCr, NTX=25, TB=1748704014.54s, D=0.23s
R=30258, TT=StCr, NTX=25, TB=1748704016.63s, D=0.18s
R=30259, TT=StCr, NTX=25, TB=1748704018.85s, D=0.28s
R=30260, TT=StCr, NTX=25, TB=1748704020.93s, D=0.17s
R=30261, TT=StCr, NTX=25, TB=1748704023.25s, D=0.33s
R=30262, TT=StCr, NTX=25, TB=1748704025.75s, D=0.31s
R=30263, TT=StCr, NTX=25, TB=1748704028.15s, D=0.27s
R=30264, TT=StCr, NTX=25, TB=1748704030.44s, D=0.26s
R=30265, TT=StCr, NTX=25, TB=1748704032.62s, D=0.25s
R=30266, TT=StCr, NTX=25, TB=1748704034.78s, D=0.25s
R=30267, TT=StCr, NTX=25, TB=1748704036.89s, D=0.18s
R=30268, TT=StCr, NTX=25, TB=1748704039.18s, D=0.29s
R=30269, TT=StCr, NTX=25, TB=1748704041.29s, D=0.17s
R=30270, TT=StCr, NTX=25, TB=1748704043.53s, D=0.26s
R=30271, TT=StCr, NTX=25, TB=1748704045.74s, D=0.26s
R=30272, TT=StCr, NTX=25, TB=1748704047.89s, D=0.25s
R=30273, TT=StCr, NTX=25, TB=1748704050.00s, D=0.18s
R=30274, TT=StCr, NTX=25, TB=1748704052.20s, D=0.20s
R=30275, TT=StCr, NTX=25, TB=1748704054.41s, D=0.16s
R=30276, TT=StCr, NTX=25, TB=1748704056.67s, D=0.29s
R=30277, TT=StCr, NTX=25, TB=1748704058.84s, D=0.23s
R=30278, TT=StCr, NTX=25, TB=1748704061.24s, D=0.28s
R=30279, TT=StCr, NTX=25, TB=1748704063.49s, D=0.27s
R=30280, TT=StCr, NTX=25, TB=1748704065.68s, D=0.40s
R=30281, TT=StCr, NTX=25, TB=1748704067.96s, D=0.21s
R=30282, TT=StCr, NTX=25, TB=1748704070.25s, D=0.25s
R=30283, TT=StCr, NTX=25, TB=1748704072.41s, D=0.23s
R=30284, TT=StCr, NTX=25, TB=1748704074.69s, D=0.26s
R=30285, TT=StCr, NTX=25, TB=1748704076.88s, D=0.27s
R=30286, TT=StCr, NTX=25, TB=1748704078.83s, D=0.16s
R=30287, TT=StCr, NTX=25, TB=1748704081.23s, D=0.31s
R=30288, TT=StCr, NTX=25, TB=1748704083.49s, D=0.24s
R=30289, TT=StCr, NTX=25, TB=1748704085.96s, D=0.30s
R=30290, TT=StCr, NTX=25, TB=1748704088.28s, D=0.28s
R=30291, TT=StCr, NTX=25, TB=1748704090.34s, D=0.17s
R=30292, TT=StCr, NTX=25, TB=1748704092.72s, D=0.31s
R=30293, TT=StCr, NTX=25, TB=1748704094.89s, D=0.30s
R=30294, TT=StCr, NTX=25, TB=1748704096.97s, D=0.15s
R=30295, TT=StCr, NTX=25, TB=1748704099.03s, D=0.16s
R=30296, TT=StCr, NTX=25, TB=1748704101.38s, D=0.22s
R=30297, TT=StCr, NTX=25, TB=1748704103.60s, D=0.30s
R=30298, TT=StCr, NTX=25, TB=1748704105.85s, D=0.23s
R=30299, TT=StCr, NTX=25, TB=1748704107.99s, D=0.27s
R=30300, TT=StCr, NTX=25, TB=1748704110.16s, D=0.24s
R=30301, TT=StCr, NTX=25, TB=1748704112.25s, D=0.17s
R=30302, TT=StCr, NTX=25, TB=1748704114.48s, D=0.22s
R=30303, TT=StCr, NTX=25, TB=1748704116.56s, D=0.17s
R=30304, TT=StCr, NTX=25, TB=1748704118.78s, D=0.17s
R=30305, TT=StCr, NTX=25, TB=1748704121.10s, D=0.27s
R=30306, TT=StCr, NTX=25, TB=1748704123.41s, D=0.26s
R=30307, TT=StCr, NTX=25, TB=1748704125.54s, D=0.34s
R=30308, TT=StCr, NTX=25, TB=1748704127.92s, D=0.29s
R=30309, TT=StCr, NTX=25, TB=1748704130.06s, D=0.26s
R=30310, TT=StCr, NTX=25, TB=1748704132.24s, D=0.28s
R=30311, TT=StCr, NTX=25, TB=1748704134.25s, D=0.17s
R=30312, TT=StCr, NTX=25, TB=1748704136.62s, D=0.25s
R=30313, TT=StCr, NTX=25, TB=1748704138.63s, D=0.20s
R=30314, TT=StCr, NTX=25, TB=1748704140.85s, D=0.21s
R=30315, TT=StCr, NTX=25, TB=1748704143.15s, D=0.29s
R=30316, TT=StCr, NTX=25, TB=1748704145.44s, D=0.18s
R=30317, TT=StCr, NTX=25, TB=1748704147.85s, D=0.24s
