R=90001, TT=RebTrOw, NTX=20, TB=1748839921.21s, D=0.20s
R=90075, TT=RebCr, NTX=61, TB=1748840091.68s, D=0.40s
R=90076, TT=RebTrOw, NTX=20, TB=1748840093.68s, D=0.30s
R=90076, TT=RebCr, NTX=59, TB=1748840093.98s, D=0.34s
R=90077, TT=RebTrOw, NTX=20, TB=1748840095.91s, D=0.38s
R=90077, TT=RebCr, NTX=51, TB=1748840096.30s, D=0.35s
R=90078, TT=RebTrOw, NTX=20, TB=1748840098.18s, D=0.38s
R=90078, TT=RebCr, NTX=68, TB=1748840098.56s, D=0.44s
R=90079, TT=RebTrOw, NTX=20, TB=1748840100.70s, D=0.38s
R=90079, TT=RebCr, NTX=60, TB=1748840101.08s, D=0.37s
R=90080, TT=RebTrOw, NTX=20, TB=1748840103.07s, D=0.26s
R=90080, TT=RebCr, NTX=64, TB=1748840103.33s, D=0.57s
R=90081, TT=RebTrOw, NTX=20, TB=1748840105.57s, D=0.31s
R=90081, TT=RebCr, NTX=66, TB=1748840105.88s, D=0.57s
R=90082, TT=RebTrOw, NTX=20, TB=1748840108.02s, D=0.30s
R=90082, TT=RebCr, NTX=59, TB=1748840108.32s, D=0.46s
R=90083, TT=RebTrOw, NTX=20, TB=1748840110.12s, D=0.20s
R=90083, TT=RebCr, NTX=45, TB=1748840110.32s, D=0.39s
R=90084, TT=RebTrOw, NTX=20, TB=1748840112.69s, D=0.33s
R=90084, TT=RebCr, NTX=65, TB=1748840113.02s, D=0.38s
R=90085, TT=RebTrOw, NTX=20, TB=1748840115.01s, D=0.27s
R=90085, TT=RebCr, NTX=55, TB=1748840115.28s, D=0.45s
R=90086, TT=RebTrOw, NTX=20, TB=1748840117.33s, D=0.30s
R=90086, TT=RebCr, NTX=72, TB=1748840117.63s, D=0.40s
R=90087, TT=RebTrOw, NTX=20, TB=1748840119.61s, D=0.29s
R=90087, TT=RebCr, NTX=68, TB=1748840119.90s, D=0.48s
R=90088, TT=RebTrOw, NTX=20, TB=1748840122.00s, D=0.29s
R=90088, TT=RebCr, NTX=61, TB=1748840122.30s, D=0.36s
R=90089, TT=RebTrOw, NTX=20, TB=1748840124.17s, D=0.25s
R=90089, TT=RebCr, NTX=61, TB=1748840124.42s, D=0.46s
R=90090, TT=RebTrOw, NTX=20, TB=1748840126.55s, D=0.30s
R=90090, TT=RebCr, NTX=59, TB=1748840126.85s, D=0.41s
R=90091, TT=RebTrOw, NTX=20, TB=1748840128.79s, D=0.27s
R=90091, TT=RebCr, NTX=66, TB=1748840129.06s, D=0.31s
R=90092, TT=RebTrOw, NTX=20, TB=1748840131.16s, D=0.26s
R=90092, TT=RebCr, NTX=71, TB=1748840131.43s, D=0.48s
R=90093, TT=RebTrOw, NTX=20, TB=1748840133.42s, D=0.26s
R=90093, TT=RebCr, NTX=68, TB=1748840133.68s, D=0.47s
R=90094, TT=RebTrOw, NTX=20, TB=1748840135.75s, D=0.32s
R=90094, TT=RebCr, NTX=58, TB=1748840136.07s, D=0.33s
R=90095, TT=RebTrOw, NTX=20, TB=1748840138.04s, D=0.27s
R=90095, TT=RebCr, NTX=63, TB=1748840138.31s, D=0.38s
R=90096, TT=RebTrOw, NTX=20, TB=1748840140.44s, D=0.31s
R=90096, TT=RebCr, NTX=66, TB=1748840140.76s, D=0.39s
R=90097, TT=RebTrOw, NTX=20, TB=1748840142.81s, D=0.33s
R=90097, TT=RebCr, NTX=63, TB=1748840143.14s, D=0.35s
R=90098, TT=RebTrOw, NTX=20, TB=1748840145.14s, D=0.27s
R=90098, TT=RebCr, NTX=62, TB=1748840145.42s, D=0.38s
R=90099, TT=RebTrOw, NTX=20, TB=1748840147.58s, D=0.33s
R=90099, TT=RebCr, NTX=63, TB=1748840147.91s, D=0.38s
R=90100, TT=RebTrOw, NTX=20, TB=1748840150.07s, D=0.26s
R=90100, TT=RebCr, NTX=57, TB=1748840150.34s, D=0.43s
R=90101, TT=RebTrOw, NTX=20, TB=1748840152.41s, D=0.28s
R=90101, TT=RebCr, NTX=60, TB=1748840152.69s, D=0.46s
R=90102, TT=RebTrOw, NTX=20, TB=1748840155.12s, D=0.26s
R=90102, TT=RebCr, NTX=67, TB=1748840155.38s, D=0.40s
R=90103, TT=RebTrOw, NTX=20, TB=1748840157.36s, D=0.29s
R=90103, TT=RebCr, NTX=52, TB=1748840157.65s, D=0.35s
R=90104, TT=RebTrOw, NTX=20, TB=1748840159.61s, D=0.22s
R=90104, TT=RebCr, NTX=55, TB=1748840159.84s, D=0.39s
R=90105, TT=RebTrOw, NTX=20, TB=1748840162.05s, D=0.29s
R=90105, TT=RebCr, NTX=60, TB=1748840162.34s, D=0.68s
R=90106, TT=RebTrOw, NTX=20, TB=1748840165.24s, D=0.25s
R=90106, TT=RebCr, NTX=65, TB=1748840165.49s, D=0.40s
R=90107, TT=RebTrOw, NTX=20, TB=1748840167.69s, D=0.31s
R=90107, TT=RebCr, NTX=71, TB=1748840167.99s, D=0.51s
R=90108, TT=RebTrOw, NTX=20, TB=1748840170.17s, D=0.31s
R=90108, TT=RebCr, NTX=62, TB=1748840170.48s, D=0.32s
R=90109, TT=RebTrOw, NTX=20, TB=1748840172.43s, D=0.28s
R=90109, TT=RebCr, NTX=51, TB=1748840172.70s, D=0.45s
R=90110, TT=RebTrOw, NTX=20, TB=1748840174.82s, D=0.30s
R=90110, TT=RebCr, NTX=55, TB=1748840175.12s, D=0.35s
R=90111, TT=RebTrOw, NTX=20, TB=1748840177.20s, D=0.27s
R=90111, TT=RebCr, NTX=63, TB=1748840177.47s, D=0.44s
R=90112, TT=RebTrOw, NTX=20, TB=1748840179.54s, D=0.31s
R=90112, TT=RebCr, NTX=63, TB=1748840179.85s, D=0.39s
R=90113, TT=RebTrOw, NTX=20, TB=1748840181.91s, D=0.32s
R=90113, TT=RebCr, NTX=57, TB=1748840182.23s, D=0.42s
R=90114, TT=RebTrOw, NTX=20, TB=1748840184.27s, D=0.27s
R=90114, TT=RebCr, NTX=55, TB=1748840184.53s, D=0.43s
R=90115, TT=RebTrOw, NTX=20, TB=1748840186.65s, D=0.27s
R=90115, TT=RebCr, NTX=64, TB=1748840186.92s, D=0.37s
R=90116, TT=RebTrOw, NTX=20, TB=1748840188.88s, D=0.26s
R=90116, TT=RebCr, NTX=57, TB=1748840189.14s, D=0.46s
R=90117, TT=RebTrOw, NTX=20, TB=1748840191.24s, D=0.25s
R=90117, TT=RebCr, NTX=61, TB=1748840191.49s, D=0.39s
R=90118, TT=RebTrOw, NTX=20, TB=1748840193.48s, D=0.25s
R=90118, TT=RebCr, NTX=59, TB=1748840193.73s, D=0.40s
R=90119, TT=RebTrOw, NTX=20, TB=1748840195.74s, D=0.26s
R=90119, TT=RebCr, NTX=60, TB=1748840196.00s, D=0.44s
R=90120, TT=RebTrOw, NTX=20, TB=1748840198.09s, D=0.29s
R=90120, TT=RebCr, NTX=56, TB=1748840198.38s, D=0.44s
R=90121, TT=RebTrOw, NTX=20, TB=1748840200.45s, D=0.30s
R=90121, TT=RebCr, NTX=67, TB=1748840200.75s, D=0.42s
R=90122, TT=RebTrOw, NTX=20, TB=1748840202.78s, D=0.29s
R=90122, TT=RebCr, NTX=54, TB=1748840203.07s, D=0.41s
R=90123, TT=RebTrOw, NTX=20, TB=1748840205.16s, D=0.40s
R=90123, TT=RebCr, NTX=68, TB=1748840205.55s, D=0.37s
R=90124, TT=RebTrOw, NTX=20, TB=1748840207.59s, D=0.24s
R=90124, TT=RebCr, NTX=64, TB=1748840207.83s, D=0.39s
R=90125, TT=RebTrOw, NTX=20, TB=1748840209.93s, D=0.27s
R=90125, TT=RebCr, NTX=50, TB=1748840210.20s, D=0.34s
R=90126, TT=RebTrOw, NTX=20, TB=1748840212.21s, D=0.29s
R=90126, TT=RebCr, NTX=53, TB=1748840212.50s, D=0.41s
R=90127, TT=RebTrOw, NTX=20, TB=1748840214.36s, D=0.17s
R=90127, TT=RebCr, NTX=47, TB=1748840214.52s, D=0.41s
R=90128, TT=RebTrOw, NTX=20, TB=1748840216.91s, D=0.27s
R=90128, TT=RebCr, NTX=65, TB=1748840217.19s, D=0.36s
R=90129, TT=RebTrOw, NTX=20, TB=1748840219.24s, D=0.26s
R=90129, TT=RebCr, NTX=57, TB=1748840219.50s, D=0.41s
R=90130, TT=RebTrOw, NTX=20, TB=1748840221.90s, D=0.31s
R=90130, TT=RebCr, NTX=54, TB=1748840222.20s, D=0.53s
R=90131, TT=RebTrOw, NTX=20, TB=1748840224.37s, D=0.26s
R=90131, TT=RebCr, NTX=54, TB=1748840224.63s, D=0.43s
R=90132, TT=RebTrOw, NTX=20, TB=1748840226.84s, D=0.29s
R=90132, TT=RebCr, NTX=65, TB=1748840227.14s, D=0.37s
R=90133, TT=RebTrOw, NTX=20, TB=1748840229.29s, D=0.28s
R=90133, TT=RebCr, NTX=60, TB=1748840229.57s, D=0.42s
R=90134, TT=RebTrOw, NTX=20, TB=1748840231.64s, D=0.32s
R=90134, TT=RebCr, NTX=59, TB=1748840231.96s, D=0.41s
R=90135, TT=RebTrOw, NTX=20, TB=1748840234.08s, D=0.25s
R=90135, TT=RebCr, NTX=60, TB=1748840234.33s, D=0.45s
R=90136, TT=RebTrOw, NTX=20, TB=1748840236.47s, D=0.31s
R=90136, TT=RebCr, NTX=61, TB=1748840236.78s, D=0.47s
R=90137, TT=RebTrOw, NTX=20, TB=1748840238.92s, D=0.30s
R=90137, TT=RebCr, NTX=62, TB=1748840239.22s, D=0.39s
R=90138, TT=RebTrOw, NTX=20, TB=1748840241.25s, D=0.26s
R=90138, TT=RebCr, NTX=57, TB=1748840241.51s, D=0.46s
R=90139, TT=RebTrOw, NTX=20, TB=1748840243.56s, D=0.28s
R=90139, TT=RebCr, NTX=79, TB=1748840243.84s, D=0.45s
R=90140, TT=RebTrOw, NTX=20, TB=1748840245.94s, D=0.26s
R=90140, TT=RebCr, NTX=77, TB=1748840246.20s, D=0.48s
R=90141, TT=RebTrOw, NTX=20, TB=1748840248.38s, D=0.25s
R=90141, TT=RebCr, NTX=62, TB=1748840248.63s, D=0.41s
R=90142, TT=RebTrOw, NTX=20, TB=1748840250.63s, D=0.29s
R=90142, TT=RebCr, NTX=68, TB=1748840250.92s, D=0.36s
R=90143, TT=RebTrOw, NTX=20, TB=1748840252.97s, D=0.28s
R=90143, TT=RebCr, NTX=60, TB=1748840253.25s, D=0.37s
R=90144, TT=RebTrOw, NTX=20, TB=1748840255.30s, D=0.29s
R=90144, TT=RebCr, NTX=56, TB=1748840255.59s, D=0.34s
R=90145, TT=RebTrOw, NTX=20, TB=1748840257.60s, D=0.30s
R=90145, TT=RebCr, NTX=55, TB=1748840257.90s, D=0.40s
R=90146, TT=RebTrOw, NTX=20, TB=1748840259.97s, D=0.31s
R=90146, TT=RebCr, NTX=62, TB=1748840260.28s, D=0.35s
R=90147, TT=RebTrOw, NTX=20, TB=1748840262.23s, D=0.28s
R=90147, TT=RebCr, NTX=62, TB=1748840262.51s, D=0.39s
R=90148, TT=RebTrOw, NTX=20, TB=1748840264.43s, D=0.20s
R=90148, TT=RebCr, NTX=45, TB=1748840264.63s, D=0.36s
R=90149, TT=RebTrOw, NTX=20, TB=1748840266.82s, D=0.27s
R=90149, TT=RebCr, NTX=62, TB=1748840267.09s, D=0.42s
R=90150, TT=RebTrOw, NTX=20, TB=1748840269.10s, D=0.26s
R=90150, TT=RebCr, NTX=61, TB=1748840269.36s, D=0.47s
R=90151, TT=RebTrOw, NTX=20, TB=1748840271.47s, D=0.30s
R=90151, TT=RebCr, NTX=65, TB=1748840271.78s, D=0.35s
R=90152, TT=RebTrOw, NTX=20, TB=1748840273.81s, D=0.31s
R=90152, TT=RebCr, NTX=58, TB=1748840274.12s, D=0.41s
R=90153, TT=RebTrOw, NTX=20, TB=1748840276.16s, D=0.30s
R=90153, TT=RebCr, NTX=59, TB=1748840276.46s, D=0.41s
R=90154, TT=RebTrOw, NTX=20, TB=1748840278.56s, D=0.25s
R=90154, TT=RebCr, NTX=61, TB=1748840278.81s, D=0.46s
R=90155, TT=RebTrOw, NTX=20, TB=1748840280.95s, D=0.29s
R=90155, TT=RebCr, NTX=50, TB=1748840281.24s, D=0.35s
R=90156, TT=RebTrOw, NTX=20, TB=1748840284.03s, D=0.37s
R=90156, TT=RebCr, NTX=60, TB=1748840284.40s, D=0.26s
R=90157, TT=RebTrOw, NTX=20, TB=1748840286.33s, D=0.25s
R=90157, TT=RebCr, NTX=64, TB=1748840286.59s, D=0.36s
R=90158, TT=RebTrOw, NTX=20, TB=1748840289.00s, D=0.27s
R=90158, TT=RebCr, NTX=64, TB=1748840289.27s, D=0.42s
R=90159, TT=RebTrOw, NTX=20, TB=1748840291.30s, D=0.28s
R=90159, TT=RebCr, NTX=52, TB=1748840291.57s, D=0.38s
R=90160, TT=RebTrOw, NTX=20, TB=1748840293.65s, D=0.26s
R=90160, TT=RebCr, NTX=62, TB=1748840293.91s, D=0.41s
R=90161, TT=RebTrOw, NTX=20, TB=1748840295.89s, D=0.33s
R=90161, TT=RebCr, NTX=59, TB=1748840296.22s, D=0.36s
R=90162, TT=RebTrOw, NTX=20, TB=1748840298.19s, D=0.22s
R=90162, TT=RebCr, NTX=61, TB=1748840298.41s, D=0.36s
R=90163, TT=RebTrOw, NTX=20, TB=1748840300.61s, D=0.28s
R=90163, TT=RebCr, NTX=63, TB=1748840300.88s, D=0.41s
R=90164, TT=RebTrOw, NTX=20, TB=1748840303.00s, D=0.32s
R=90164, TT=RebCr, NTX=63, TB=1748840303.33s, D=0.44s
R=90165, TT=RebTrOw, NTX=20, TB=1748840305.41s, D=0.27s
R=90165, TT=RebCr, NTX=62, TB=1748840305.68s, D=0.39s
R=90166, TT=RebTrOw, NTX=20, TB=1748840307.63s, D=0.27s
R=90166, TT=RebCr, NTX=64, TB=1748840307.89s, D=0.49s
R=90167, TT=RebTrOw, NTX=20, TB=1748840309.99s, D=0.29s
R=90167, TT=RebCr, NTX=51, TB=1748840310.27s, D=0.31s
R=90168, TT=RebTrOw, NTX=20, TB=1748840312.18s, D=0.22s
R=90168, TT=RebCr, NTX=63, TB=1748840312.40s, D=0.39s
R=90169, TT=RebTrOw, NTX=20, TB=1748840314.61s, D=0.26s
R=90169, TT=RebCr, NTX=63, TB=1748840314.86s, D=0.40s
R=90170, TT=RebTrOw, NTX=20, TB=1748840316.86s, D=0.29s
R=90170, TT=RebCr, NTX=59, TB=1748840317.15s, D=0.41s
R=90171, TT=RebTrOw, NTX=20, TB=1748840319.23s, D=0.29s
R=90171, TT=RebCr, NTX=56, TB=1748840319.51s, D=0.36s
R=90172, TT=RebTrOw, NTX=20, TB=1748840321.51s, D=0.28s
R=90172, TT=RebCr, NTX=54, TB=1748840321.79s, D=0.37s
R=90173, TT=RebTrOw, NTX=20, TB=1748840323.84s, D=0.28s
R=90173, TT=RebCr, NTX=65, TB=1748840324.12s, D=0.45s
R=90174, TT=RebTrOw, NTX=20, TB=1748840326.18s, D=0.32s
R=90174, TT=RebCr, NTX=50, TB=1748840326.50s, D=0.50s
R=90175, TT=RebTrOw, NTX=20, TB=1748840328.69s, D=0.32s
R=90175, TT=RebCr, NTX=63, TB=1748840329.01s, D=0.37s
R=90176, TT=RebTrOw, NTX=20, TB=1748840330.96s, D=0.28s
R=90176, TT=RebCr, NTX=61, TB=1748840331.24s, D=0.47s
R=90177, TT=RebTrOw, NTX=20, TB=1748840333.30s, D=0.28s
R=90177, TT=RebCr, NTX=65, TB=1748840333.58s, D=0.45s
R=90178, TT=RebTrOw, NTX=20, TB=1748840335.44s, D=0.17s
R=90178, TT=RebCr, NTX=56, TB=1748840335.61s, D=0.45s
R=90179, TT=RebTrOw, NTX=20, TB=1748840338.04s, D=0.28s
R=90179, TT=RebCr, NTX=52, TB=1748840338.32s, D=0.44s
R=90180, TT=RebTrOw, NTX=20, TB=1748840340.39s, D=0.28s
R=90180, TT=RebCr, NTX=59, TB=1748840340.67s, D=0.38s
R=90181, TT=RebTrOw, NTX=20, TB=1748840343.15s, D=0.42s
R=90181, TT=RebCr, NTX=56, TB=1748840343.57s, D=0.43s
R=90182, TT=RebTrOw, NTX=20, TB=1748840345.85s, D=0.32s
R=90182, TT=RebCr, NTX=71, TB=1748840346.16s, D=0.48s
R=90183, TT=RebTrOw, NTX=20, TB=1748840348.22s, D=0.27s
R=90183, TT=RebCr, NTX=64, TB=1748840348.49s, D=0.48s
R=90184, TT=RebTrOw, NTX=20, TB=1748840350.59s, D=0.25s
